p,percentage
http://bias.org/vocab/award/award_nominee/award_nominations./award/award_nomination/award_nominee,0.03337313
http://bias.org/vocab/film/film/release_date_s./film/film_regional_release_date/film_release_region,0.026742067
http://bias.org/vocab/award/award_category/nominees./award/award_nomination/award_nominee,0.025195327
http://bias.org/vocab/award/award_nominee/award_nominations./award/award_nomination/award,0.025195327
http://bias.org/vocab/people/person/profession,0.02401163
http://bias.org/vocab/people/profession/people_with_this_profession,0.02401163
http://bias.org/vocab/film/actor/film./film/performance/film,0.019651713
http://bias.org/vocab/film/film/starring./film/performance/actor,0.019651713
http://bias.org/vocab/award/award_category/nominees./award/award_nomination/nominated_for,0.019577416
http://bias.org/vocab/award/award_nominated_work/award_nominations./award/award_nomination/award,0.019577416
http://bias.org/vocab/award/award_winner/awards_won./award/award_honor/award_winner,0.0175241
http://bias.org/vocab/film/film/genre,0.015106051
http://bias.org/vocab/film/film_genre/films_in_this_genre,0.015106051
http://bias.org/vocab/award/award_nominated_work/award_nominations./award/award_nomination/award_nominee,0.012887255
http://bias.org/vocab/award/award_nominee/award_nominations./award/award_nomination/nominated_for,0.012887255
http://bias.org/vocab/film/film/other_crew./film/film_crew_gig/film_crew_role,0.012495504
http://bias.org/vocab/film/film_job/films_with_this_crew_job./film/film_crew_gig/film,0.012495504
http://bias.org/vocab/common/annotation_category/annotations./common/webpage/topic,0.012211822
http://bias.org/vocab/common/topic/webpage./common/webpage/category,0.012211822
http://bias.org/vocab/music/artist/genre,0.0122067565
http://bias.org/vocab/music/genre/artists,0.0122067565
http://bias.org/vocab/award/award_category/winners./award/award_honor/award_winner,0.011703559
http://bias.org/vocab/award/award_winner/awards_won./award/award_honor/award,0.011703559
http://bias.org/vocab/location/location/containedby,0.010744445
http://bias.org/vocab/location/location/contains,0.010744445
http://bias.org/vocab/people/person/nationality,0.008659047
http://bias.org/vocab/music/performance_role/track_performances./music/track_contribution/role,0.007902562
http://bias.org/vocab/people/person/places_lived./people/place_lived/location,0.007710064
http://bias.org/vocab/people/person/gender,0.007656029
http://bias.org/vocab/sports/sports_position/players./sports/sports_team_roster/team,0.0072946725
http://bias.org/vocab/sports/sports_team/roster./sports/sports_team_roster/position,0.0072946725
http://bias.org/vocab/award/award_category/winners./award/award_honor/honored_for,0.006816804
http://bias.org/vocab/award/award_winning_work/awards_won./award/award_honor/award,0.006816804
http://bias.org/vocab/award/award_winner/awards_won./award/award_honor/honored_for,0.0062747695
http://bias.org/vocab/award/award_winning_work/awards_won./award/award_honor/award_winner,0.0062747695
http://bias.org/vocab/people/marriage_union_type/unions_of_this_type./people/marriage/spouse,0.006009662
http://bias.org/vocab/people/person/spouse_s./people/marriage/type_of_union,0.006009662
http://bias.org/vocab/award/award_category/winners./award/award_honor/ceremony,0.0058104093
http://bias.org/vocab/award/award_ceremony/awards_presented./award/award_honor/award,0.0058104093
http://bias.org/vocab/award/award_ceremony/awards_presented./award/award_honor/award_winner,0.0056381742
http://bias.org/vocab/award/award_winner/awards_won./award/award_honor/ceremony,0.0056381742
http://bias.org/vocab/music/performance_role/regular_performances./music/group_membership/role,0.0055284165
http://bias.org/vocab/education/educational_institution/students_graduates./education/education/student,0.00546425
http://bias.org/vocab/people/person/education./education/education/institution,0.00546425
http://bias.org/vocab/education/educational_institution/students_graduates./education/education/major_field_of_study,0.00544061
http://bias.org/vocab/education/field_of_study/students_majoring./education/education/institution,0.00544061
http://bias.org/vocab/media_common/netflix_genre/titles,0.0054355445
